Numero_Processo,Tribunal,Data_Atualizacao,Status,Classe_Processual
50001366620098210023,TJRS,2026-05-15T02:55:17.149000Z,EM_ANDAMENTO,Cumprimento de sentença
50013106620168210023,TJRS,2026-05-15T02:55:17.155000Z,SUSPENSO,Execução Fiscal
50001476620078210023,TJRS,2026-05-15T02:55:17.160000Z,BAIXADO,Cumprimento de sentença
50013526620268210023,TJRS,2026-05-15T02:55:17.160000Z,ARQUIVADO,Execução Fiscal
50013636620248210023,TJRS,2026-05-15T02:55:17.161000Z,ARQUIVADO,Cumprimento de sentença
00052836620204036310,TRF3,2026-05-12T18:54:14.273000Z,SUSPENSO,Recurso Inominado Cível
00046346220204036323,TRF3,2026-05-12T18:54:14.273000Z,SUSPENSO,Recurso Inominado Cível
00118535320204036315,TRF3,2026-05-12T18:54:14.273000Z,BAIXADO,Recurso Inominado Cível
50280659320214036100,TRF3,2026-05-12T18:54:14.275000Z,SUSPENSO,Recurso Inominado Cível
50011616420214036317,TRF3,2026-05-12T18:54:14.276000Z,BAIXADO,Recurso Inominado Cível
00081182020214036301,TRF3,2026-05-12T18:54:14.276000Z,ARQUIVADO,Recurso Inominado Cível
50027878420224036317,TRF3,2026-05-12T18:54:14.276000Z,SUSPENSO,Recurso Inominado Cível
00072957420204036303,TRF3,2026-05-12T18:54:14.277000Z,SUSPENSO,Recurso Inominado Cível
00009125820214036202,TRF3,2026-05-12T18:54:14.279000Z,SUSPENSO,Recurso Inominado Cível
00029422220194036304,TRF3,2026-05-12T18:54:14.281000Z,SUSPENSO,Recurso Inominado Cível
50008593420224036306,TRF3,2026-05-12T18:54:14.688000Z,SUSPENSO,Recurso Inominado Cível
50008361620214036309,TRF3,2026-05-12T18:54:14.690000Z,ARQUIVADO,Recurso Inominado Cível
50086678220204036105,TRF3,2026-05-12T18:54:14.691000Z,EM_ANDAMENTO,Recurso Inominado Cível
00019473420194036328,TRF3,2026-05-12T18:54:14.692000Z,ARQUIVADO,Recurso Inominado Cível
50014470820224036317,TRF3,2026-05-12T18:54:14.692000Z,ARQUIVADO,Recurso Inominado Cível
00022907220204036335,TRF3,2026-05-12T18:54:14.693000Z,SUSPENSO,Recurso Inominado Cível
00026406220214036323,TRF3,2026-05-12T18:54:14.693000Z,SUSPENSO,Recurso Inominado Cível
50004246020224036306,TRF3,2026-05-12T18:54:14.694000Z,EM_ANDAMENTO,Recurso Inominado Cível
50018383320224036326,TRF3,2026-05-12T18:54:14.696000Z,ARQUIVADO,Recurso Inominado Cível
00380947220214036301,TRF3,2026-05-12T18:54:14.697000Z,SUSPENSO,Recurso Inominado Cível
50379672020254047000,TRF4,2026-05-13T04:20:31.988000Z,ARQUIVADO,Execução Fiscal
50209584520254047000,TRF4,2026-05-13T04:20:32.126000Z,SUSPENSO,Embargos à Execução
50537437020194047000,TRF4,2026-05-13T04:20:32.453000Z,SUSPENSO,Execução de Título Extrajudicial
50485430920244047000,TRF4,2026-05-13T04:20:33.471000Z,BAIXADO,Cumprimento de sentença
50560100520254047000,TRF4,2026-05-13T04:20:34.176000Z,SUSPENSO,Procedimento do Juizado Especial Cível
50382098620194047000,TRF4,2026-05-13T04:20:34.234000Z,SUSPENSO,Cumprimento de Sentença contra a Fazenda Pública
50355059020254047000,TRF4,2026-05-13T04:20:34.236000Z,SUSPENSO,Procedimento do Juizado Especial Cível
50376346820254047000,TRF4,2026-05-13T04:20:34.298000Z,BAIXADO,Procedimento do Juizado Especial Cível
50030259120234047012,TRF4,2026-05-13T04:20:35.172000Z,BAIXADO,Procedimento Comum Cível
50302473620244047000,TRF4,2026-05-13T04:20:35.602000Z,ARQUIVADO,Procedimento do Juizado Especial Cível
50430329320254047000,TRF4,2026-05-13T04:20:36.219000Z,EM_ANDAMENTO,Procedimento do Juizado Especial Cível
50268000620254047000,TRF4,2026-05-13T04:20:36.720000Z,EM_ANDAMENTO,Procedimento do Juizado Especial Cível
50134437120164047000,TRF4,2026-05-13T04:20:37.129000Z,BAIXADO,Execução de Título Extrajudicial
50443331720214047000,TRF4,2026-05-13T04:20:38.480000Z,SUSPENSO,Tutela Antecipada Antecedente
50153653720224047001,TRF4,2026-05-13T04:20:38.824000Z,BAIXADO,Embargos à Execução Fiscal
50028107920224047003,TRF4,2026-05-13T04:20:39.110000Z,EM_ANDAMENTO,Ação Penal - Procedimento Ordinário
50152106620244047000,TRF4,2026-05-13T04:20:39.824000Z,BAIXADO,Procedimento do Juizado Especial Cível
50107881120254047001,TRF4,2026-05-13T04:20:42.719000Z,SUSPENSO,Procedimento Comum Cível
50452551920254047000,TRF4,2026-05-13T04:20:43.553000Z,SUSPENSO,Procedimento Comum Cível
50198384520174047000,TRF4,2026-05-13T04:20:43.866000Z,BAIXADO,Execução de Título Extrajudicial
